district,name,address,phone,mobile,email,website,contact_person,purpose,mission,url
Ahmednagar,"FEEDS – Farmers Economic & Educational Development Society, Ahmednagar",".: A-P, Mamdapur Ahmednagar Pin: 413737 Maharashtra",,919850607939,feedsindia@rediffmail.com,https://twitter.com/share,Deepak Francis Jadhav,upliftment of rural sector.,"To demolish the end traditions and the spirit of inequality among the people of all the cast and create among themselves the liking of social integrity, liking of the scientific knowledge, social and educational uplift and doing so, to lift them up from their present poverty line which is now very low. To start for the peoples and carry out, to maintain and run in upto date conditions, the primary schools, secondary schools, colleges and even universities trade educational institutes, technical institutes with the hostel facilities and boarding. Tweet",https://ngosindia.org/maharashtra-ngos/feeds-farmers-economic-educational-development-society-ahmednagar/
Ahmednagar,"Friends of Depressed League, Ahmednagar",".: Abasaheb Kakade Jr. College campus, Ahmednagar Ahmednagar Pin: 414101 Maharashtra",912429223064,,fdlnagar@yahoo.com,http://www.fdlshevgaon.org,Jagtap Anil,,"Our NGO is working in the field of upliftment of poor, orphan, backward and court commited students. To provide them quality education opportunities. We are running various schools, highschools, colleges, remand homes, computer courses. We need building infrastructure and collabration. Tweet",https://ngosindia.org/maharashtra-ngos/friends-of-depressed-league-ahmednagar/
Ahmednagar,"Gitanjali Gramin Arogya & Yuva Vikas Pratisthan, Ahmednagar",".: Chichondi, Patil Ahmednagar Pin: 414201 Maharashtra",912412690333,,gitanjali411@gmail.com,https://twitter.com/share,Dr. Vijay Pawar,"Rural area development in health, agriculture, human-rights, water resoureces, women & child issues.","Rural area development in health, agriculture, human-rights, water resoureces, women & child issues. Tweet",https://ngosindia.org/maharashtra-ngos/gitanjali-gramin-arogya-yuva-vikas-pratisthan-ahmednagar/
Ahmednagar,"Gitanjali Rural Health & Youth Development Foundation, Ahmednagar",".: Chichondi, Patil Ahmednagar Pin: 414201 Maharashtra",912412690333,,grhfoundation@yahoo.co.in,https://twitter.com/share,Dr. Vijay Pawar,Rural health and youth development.,To provide better Medical Services to the people in rural area. To do the Youth Development work. Tweet,https://ngosindia.org/maharashtra-ngos/gitanjali-rural-health-youth-development-foundation-ahmednagar/
Ahmednagar,"Golden Youth Cultural Child Welfare Trust, Ahmednagar",".: Belwandi, Shrigonda Ahmednagar Pin: 413702 Maharashtra",912487250633,,yuothculture@gmail.com,https://twitter.com/share,Tanaji Shelar,,Computer literacy in school children. Tweet,https://ngosindia.org/maharashtra-ngos/golden-youth-cultural-child-welfare-trust-ahmednagar/
Ahmednagar,"Good Shephard Ministry, Ahmednagar",".: New Bethel Colony, Station Road Ahmednagar Pin: 414001 Maharashtra",912412450851,919860239835,johnsonshakesphear@rediffmail.com,https://twitter.com/share,Johnson William Shakespeare,"Education, microfinance, health, women empowerment, child development, rural development, disability, old age care.","To take care of slum children orphans, old age people. To build hostel for them to provide them proper food, and medical, nursing facilities. To give them education etc, for their survival. Hiv- awareness, and prapogate the gospal. Tweet",https://ngosindia.org/maharashtra-ngos/good-shephard-ministry-ahmednagar/
Ahmednagar,"Hitech Education Reaserch & Development Foundation, Ahmednagar",".: Tisgaon, Pathardi Ahmednagar Pin: 414502 Maharashtra",912428241061,919823546977,hitechtisgaon@gmail.com,https://twitter.com/share,Bhise Popat Saganrao,Rural development.,Our organization working education in sugarcane workers children. Our taluka is full of dongari area and their is a sugarcaneworker here is not higher education incomputer or management. Tweet,https://ngosindia.org/maharashtra-ngos/hitech-education-reaserch-development-foundation-ahmednagar/
Ahmednagar,"Human Educational & Welfare Society, Ahmednagar",".: B 114, Basmant Prerna Arcade, Opp Tarakpur Bus Stand Ahmednagar Pin: 414001 Maharashtra",912416990081,919260708157,human_edu.soct@rediffmail.com,http://www.assanindia.com,Sachin Magar,,"Education, health, woman empowerment, child development, rural development, disability, agriculture, childeran educatinal plan. Tweet",https://ngosindia.org/maharashtra-ngos/human-educational-welfare-society-ahmednagar/
Ahmednagar,"IRDERH – Institute for Research Development in Environment & Rural Health, Ahmednagar",".: Srikakulam, Ahmednagar Ahmednagar Pin: 414002 Maharashtra","912412321191,91241237738",9109420345021,contact@irderh.org,http://www.irderh.org,Dr. Martin Roy Edward,,"The institute serves for the down trodden and marginalized people for their upliftment in every sphere of life by providing them equal opportunity, honorable living as enshrined in the constitution of India. To educate and provide education and nurture the talents of the rural youth and provide facilities for their higher education. To enlighten the rural masses in the emerging areas of basic and applied science and technology. To make the rural masses a well informed and responsible citizen by safeguarding the biosphere and health as defined by the world health organization. Tweet",https://ngosindia.org/maharashtra-ngos/irderh-institute-for-research-development-in-environment-rural/
Ahmednagar,"Krishak Seva Sangh, Ahmednagar",".: 35 “Prasad”, Vaishnavi Colony Ahmednagar Pin: 414003 Maharashtra",912412426791,,krishak_seva_sangh@yahoo.com,https://twitter.com/share,Sachin,"Education, social and rural development","To impart progressive primary, secondary, and higher education of good quality to the rising generation of city and rural area. Arrange for following technical courses i.e. agricultural science, commerce, poultry, press etc and arrange the modern sports and social camps & youth camps to develop the health & culture of young generation. Conduct boarding for boys and girls. Make adequate facilities of earning and leaving simultaneously to poor deserving intelligent student. Provide for libraries, reading rooms and dispensary. Cattle breeding farm equipped. With an artificial insemination center and undertake experiments in breeding with a view to introduce and stabilize suitable indian and /or/exotic, breeds of cow with higher milk.Well equipped modern dairy plant having cooling, chilling and pasteurizing arrangements for processing raw milk and for manufacture of best cheese, milk powder etc. Poultry farm for breeding and egg production and also for studying the economics of deep litter and battery systems of housing, support the families of old age people economically and socially by paying to the old age people regularly from the [...]",https://ngosindia.org/maharashtra-ngos/krishak-seva-sangh-ahmednagar/
Ahmednagar,"Krishi Vigyan Kendra, Ahmednagar",".: Krishi Vigyan Kendra Campus, A/P Babhaleshwar Ahmednagar Pin: 413737 Maharashtra","912422252414,912422252295",,gaikwadb.h.@england.com,https://twitter.com/share,Bhaskar Gaikwad,"Agriculture, Rural Development, Science and Technology","KVK involves transfer of technology and extension oriented organisation in agriculture field working primarily to bridge the gap in between technology generation at research stations and technology adoption at farmers level and eventually to raise the productivity of the crops and animal centre price. It extends its commitments towards better services in terms of technical backup, product inputs, market information. The thrust areas are use of eco-friendly methods, the indigenous knowledge systems and organic farming in agriculture. Tweet",https://ngosindia.org/maharashtra-ngos/krishi-vigyan-kendra-ahmednagar/
Ahmednagar,"Lifeline Health Research & Development Foundation, Ahmednagar",".: Shiv General Hospital, Near Chandan Estate Ahmednagar Pin: 414001 Maharashtra",912412323911,,drprasantshinde@yahoo.co.in,http://www.swasthadarpan.com,Dr Prashant,To aware and train everyone.,Tweet,https://ngosindia.org/maharashtra-ngos/lifeline-health-research-development-foundation-ahmednagar/
Ahmednagar,"Maharashtra Tantrik Shikshan Mandal, Ahmednagar","23, Sonanagar, Bhistbaug Road, Near Kushthadham, Savedi Ahmednagar Maharashtra 414003",02412423629,9822147888,darade@gmail.com,https://www.mtsmIndia.org,Ankush B Darade,"Agriculture, Awareness Generation, Community Development, Corporate Social Responsibility, Distance Learning, Education, Employment, Grants/Aids, Human Development, Information and Communications Technology, Livelihood, Micro-Enterprises, Ngo Management, Rural Development, Science and Technology.","Reach modern education and technology towards children and youths from very poor families spreading computer literary towards all the people of the state ofmaharashtra to conduct and execute entrepreneurship/vocational training institutes for rural youths and creation employment-self employment in the region. To conduct and executehrd training centres and develop people organizations, womens self help groups to support rural, backward & bpl family development. To conduct and execute education, health, environment, and self-employment oriented programmes, workshops, and exhibitions. To develop information center, collect data of rural areas, survey farmers and their crop data for rural development. To conduct and execute awareness programmes in aids, health, family planning, polio, legal, political, govt schemes and other health awareness at the rural area and slums. Missionto undertake, conduct technical,vocational education and training for the socio economic empowerment and stability of rural [...]",https://ngosindia.org/maharashtra-ngos/maharashtra-tantrik-shikshan-mandal-ahmednagar/
Ahmednagar,"Maharudra Gramvikas Pratishthan, Ahmednagar",".: Chande Khurd, Karjat Ahmednagar Pin: 414402 Maharashtra",912024379597,919404231518,suryawanshivishwas@rediffmail.com,https://twitter.com/share,Vishwas Suryawanshi,"Rural development, health, agriculture, education, library.","A social, economic & cultural development of rural area. Tweet",https://ngosindia.org/maharashtra-ngos/maharudra-gramvikas-pratishthan-ahmednagar/
Ahmednagar,"Mahesh Foundation, Akole, Ahmednagar","Bazar Peth, Opp. Jagdamba Mandir, Akole Ahmednagar Maharashtra 422601",02424221274,9765566976,maheshfoundationakole@gmail.com,https://twitter.com/share,Ajay Jaju,Social Work.,"In those days we serve for ability persons, plant a tree, arrange medical camps, awarness camp. Tweet",https://ngosindia.org/maharashtra-ngos/mahesh-foundation-akole-ahmednagar/
Ahmednagar,"Maitreaya Multipurpose Organisation, Ahmednagar",".: Rahata, Ahmednagar Ahmednagar Pin: 423107 Maharashtra",,919763993492,maitreya.mu@gmail.com,https://twitter.com/share,Umesh Tribhuvan,Social development.,To increase the level of educational & health status of needy persons. Tweet,https://ngosindia.org/maharashtra-ngos/maitreaya-multipurpose-organisation-ahmednagar/
Ahmednagar,"Manasi Foundation, Ahmednagar",".: 3/6-A, Shinde Mala Savedi Road Ahmednagar Pin: 414003 Maharashtra",,919975652128,mukundpehere@yahoo.com,https://twitter.com/share,Mukund Pehere,"Health, education",To promote education in rural areas. Tweet,https://ngosindia.org/maharashtra-ngos/manasi-foundation-ahmednagar/
Ahmednagar,"Mandveshawar Gramvikas Sanstha, Ahmednagar",".: Mandave, Pathardi Ahmednagar Pin: 414106 Maharashtra",912428241224,,,https://twitter.com/share,Ramesh Suryabhan Lawande,Social work.,Environment traning camp self helf group health camp panchayat raj camp etc. Tweet,https://ngosindia.org/maharashtra-ngos/mandveshawar-gramvikas-sanstha-ahmednagar/
Ahmednagar,"Mathoshri Bahuudeshy Pratisthan, Ahemednagar",".: Dadh Kd Dadh Bk, Sangamner Ahemednagar Pin: 413714 Maharashtra",,919763356148,matoshripratisthan@redffmail.com,https://twitter.com/share,Sudhir Joshi,,To provide educationl material to primary students in hilly area. Tweet,https://ngosindia.org/maharashtra-ngos/mathoshri-bahuudeshy-pratisthan-ahemednagar/
Ahmednagar,"Maybhoomi Gramvikas Sanstha, Ahmednagar",".: Daithane Gunjal, Parner Ahmednagar Pin: 414103 Maharashtra",912412427300,919421555487,shivramjasud@yahoo.com,https://twitter.com/share,Jasud shivram,"Education, health, NRM, water, women empowerment, child development, rural development, disability.",": An association of voluntary organisations, engaged in rural development in Maharashtra. Main objectives are promotion of voluntary efforts in the field of agriculture, ground water, soil and water conservation. Publishes manuals on social issues. Tweet",https://ngosindia.org/maharashtra-ngos/maybhoomi-gramvikas-sanstha-ahmednagar/
Ahmednagar,"Navjeevan Foundation, Ahmendnagar",".: Satpute Chowk, Bhushanagar Ahmendnagar Pin: 414005 Maharashtra",,,,https://twitter.com/share,R B Satpute,"Hiv education, rural development.",Tweet,https://ngosindia.org/maharashtra-ngos/navjeevan-foundation-ahmendnagar/
Ahmednagar,"Pragati Gramin Vikas Sanstha, Ahmednagar",".: A/P Ghargaon, Sangamner Ahmednagar Pin: 422620 Maharashtra",912425224851,,rs_dhatrak@rediffmail.com,https://twitter.com/share,R.S. Dhatrak,"Agriculture, children, drinking water, education & literacy, environment & forests, health & family welfare.","To run health programe, to arrange social welfare seminar, to run AIDS awarness camp, to oragnise enviormental programme, to run self help group, to organise seminar of education of childs, to oragnise voucational training for women, to organise blood donation camp, social activities for widows & helpless women. Tweet",https://ngosindia.org/maharashtra-ngos/pragati-gramin-vikas-sanstha-ahmednagar/
Ahmednagar,"Priti Bauuddeshiya Yuva Sevabhavi &Research Sanstha, Sangmner",".: Shiloah Institute Sainagar, Ghulewadi Sangmner Pin: 422608 Maharashtra",912425221423,"919767345764,919011126465",shiloahnursing@gamil.com,https://twitter.com/share,Dr.R.M. Kharat,,"Woman health education, health, child development, woman development, health center for all purpose. Tweet",https://ngosindia.org/maharashtra-ngos/priti-bauuddeshiya-yuva-sevabhavi-research-sanstha-sangmner/
Ahmednagar,"Priyadarshani Gramin and Adivasi Sevabhavi Sanstha, Ahmednagar","Golden City, Akole Bypass Road, Gunjalwadi, Sangamner Ahmednagar Maharashtra 422605",02425222507,9970168840,priyadarshani64@gmail.com,https://twitter.com/share,Dr. Arun Damu Ithape,"Child Welfare, Education, Old Aged Welfare, Orphanage, Trafficking Of Women, Women Development/Welfare, Women’S Issues, Yoga.","Our organisation has contributed to education,development and health of more than 15000 families in their efforts for quality of life through its various programs. We are working for poor rural/village people for their overall development. we provide education,residence, scholarship/financial help & all the necessary facilities to orphan and needy children. Various projects running by our organisation:- swadhar home- scheme for women in difficult circumstances. Till now we have supported 286 women by providing them monthly pocket money and training for income generation. Foster care-(balsangopan for destitute and orphan children). 280 children under the age group of 6-18 have benefited. Ujjawala-(a scheme for prevention of trafficking and rescue,rehabilitation and reintegration of women under the age group 15-38). for this we have made self help groups of 2 types. we arrange awareness programin sangamner taluka and invite an experts to give speech. Short stay home-(shelter to women in distress)we provide protective respite to [...]",https://ngosindia.org/maharashtra-ngos/priyadarshani-gramin-and-adivasi-sevabhavi-sanstha-ahmednagar/
Ahmednagar,"Rajarshi Pratishthan, Ahmednagar",".: Vambori, Rahuri Ahmednagar Pin: 413704 Maharashtra",912412421909,,drpradip82@yahoo.co.in,https://twitter.com/share,Sanjay Gulabrao Todmal.,Training and Use of human resources,"To train the youth and to make them potent competitor, health specially female, agitation against dowry etc. Tweet",https://ngosindia.org/maharashtra-ngos/rajarshi-pratishthan-ahmednagar/
Ahmednagar,"Raje Sambhaji Gram Krushi Va Krushi Vikas Partishitan,Ahmednagar",".: Bargewadi, Karjat Ahmednagar Pin: 414402 Maharashtra",,919423461369,vspisal@gmail.com,https://twitter.com/share,Vitthal Pisal,"Agriculture, micro finance, water, education, development.","Micro finance, water, education, development. Tweet",https://ngosindia.org/maharashtra-ngos/raje-sambhaji-gram-krushi-va-krushi-vikas-partishitanahmednagar/
Ahmednagar,"Rotary Eye Care Trust, Ahmednagar",".: Municipal Compound, Sangamner Ahmednagar Pin: 422605 Maharashtra",912425225163,,,https://twitter.com/share,Arvind Kasat,Eye hospital.,Vision is our mission. Tweet,https://ngosindia.org/maharashtra-ngos/rotary-eye-care-trust-ahmednagar/
Ahmednagar,"Rural Development & Research Center, Ahmednagar",".: Shivpushpa, Ahmednagar Ahmednagar Pin: 414302 Maharashtra",912488221603,,skmahandule@gmail.com,https://twitter.com/share,Sudhakar Mahandule,,Development of rural woman. Tweet,https://ngosindia.org/maharashtra-ngos/rural-development-research-center-ahmednagar/
Ahmednagar,"SRUSHTI, Ahmednagar",".: The Institute for Developing Science, ShrirampurAhmednagar Pin: 413709Maharashtra",,919370656153,wackchoure@gmail.com,https://twitter.com/share,Manoj Wackchoure,To improve skill of rural life through science.,"Education, health, NRM, water, women empowerment, child development, rural development, disability, agriculture, old age care, animal care. Tweet",https://ngosindia.org/maharashtra-ngos/srushti-ahmednagar/
Ahmednagar,"Sahyadri Sanvardhan Society, Ahmednagar",".: Subhashnagar, Wambori, Rahuri Ahmednagar Pin: 413705 Maharashtra",912378285351,919423790958,sahyadri.sanvardhan.society@gmail.com,http://www.amazingsahyadri.com,Yogesh Ashok Kardile,"Ecotourism, education, exhibition, ecologycal conservation.","Education, creating employment, ecological conservation through ecotourismeg. Running library exhibitions, slide shows ecotourism training tree plantation. Tweet",https://ngosindia.org/maharashtra-ngos/sahyadri-sanvardhan-society-ahmednagar/
Ahmednagar,"Sai Gramin Bahuudeshiya Samajsevi Sanstha, Ahmednagar",".: Shirdi, Rahata Ahmednagar Pin: 423109 Maharashtra",,919960869602,anathashramshirdi@gmail.com,https://twitter.com/share,Pappu Sayyad,,"Anath ashram Shirdi, old woman provision, medical camp, eye camp. Tweet",https://ngosindia.org/maharashtra-ngos/sai-gramin-bahuudeshiya-samajsevi-sanstha-ahmednagar/
Ahmednagar,"Samarpan Foundation, Ahemednagar","Santosh Maruti Meherkham, Near Majeed, Kolgaonthadi, Kopargaon Ahemednagar Maharashtra 423602",07038042833,9730311808,samarpanfoundation@gmail.com,https://twitter.com/share,Prasad DnyandeDibare,"Adolescent Girls Welfare, Advocacy On Social Issues, Agriculture, Animal Health, Animal Welfare, Art And Craft, Art And Culture, Awareness Generation, Blindness, Cancer Patients Help, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Corporate Social Responsibility, Cow Protection Centre (Goushala), Cultural Heritage.",Help needed people. Tweet,https://ngosindia.org/maharashtra-ngos/samarpan-foundation-ahemednagar/
Ahmednagar,"Samarpan Samajik, Shaikshanik Va Bahu-Uddeshiya Sevabhavi Foundation, Ahemednagar","Near Majeed, Kolgaonthadi, Kopargaon Ahemednagar Maharashtra 423602",,"9730311808,7038042833",samarpanfoundationkolgaonthadi@gmail.com,https://twitter.com/share,Prasad Dnyande Dibare,Social Work,"Belive in humanity & works towards reliving poverty. Rural dev. Women empowerment, education & health etc. Tweet",https://ngosindia.org/maharashtra-ngos/samarpan-samajik-shaikshanik-va-bahu-uddeshiya-sevabhavi-foundation-ahemednagar/
Ahmednagar,"Sampada Trust, Ahmednagar",".: Sampada Building, Ahmednagar Ahmednagar Pin: 414001 Maharashtra",912412451311,,info@sampada.org,http://www.sampada.org,Crispino Lobo,"Agriculture, grants/aids, local administration, micro-enterprises, poverty, micro finance, micro ins.","Agriculture, environment, forestry, grants/aids, local administration, micro-enterprises, poverty, rural development, sustainable development, water, women’s issues. Tweet",https://ngosindia.org/maharashtra-ngos/sampada-trust-ahmednagar/
Ahmednagar,"Samyak Jeevan Pratishthan,Ahmednagar",".: Belvandi BK, Ahmednagar Ahmednagar Pin: 413702 Maharashtra",,919422223695,sangramlic@gmail.com,https://twitter.com/share,Sangram,Regarding funds.,"Rural education, health, oldage people. Tweet",https://ngosindia.org/maharashtra-ngos/samyak-jeevan-pratishthanahmednagar/
Ahmednagar,"Sanjivani Medical Training Centre, Ahmednagar",".: Mehekari, Ahmednagar Ahmednagar Pin: 414002 Maharashtra",912412610128,,sanjivani90@hotmail.com,https://twitter.com/share,Dr. Bhagwan Funde,Medical and social,"To run charitable activities for rural people, child and womens welfare, destitute home, rural development programe. Tweet",https://ngosindia.org/maharashtra-ngos/sanjivani-medical-training-centre-ahmednagar/
Ahmednagar,"Sanskruti Gramin Vikas Va Sanshodhan Sanstha, Ahmednagar",".: Gaikarwadi, Bahirobawadi Ahmednagar Pin: 414402 Maharashtra",,919423166706,barbademadhukar@yahoo.com,https://twitter.com/share,Sandip Shriram Barbade,Social work.,To work for poor people in India. Tweet,https://ngosindia.org/maharashtra-ngos/sanskruti-gramin-vikas-va-sanshodhan-sanstha-ahmednagar/
Ahmednagar,"Sant Mother Teresa Bahuddeshiya Gramin Vikas Sanstha, Ahmednagar",".: Tuljapur Peth Tisgaon, Pathardi Ahmednagar Pin: 414106 Maharashtra",,919404248560,saintmotherteresa@rediffmail.com,https://twitter.com/share,Kusum Arun Salve,"Works for weaker section, street children, oldage home, agricultuer intervention, organic farming. Tweet",,https://ngosindia.org/maharashtra-ngos/sant-mother-teresa-bahuddeshiya-gramin-vikas-sanstha-ahmednagar/
Ahmednagar,"Santa Gadge Maharaj Adivasi & Gramin Vikas Sanstha,Ahmednagar",".: Ghargaon, Ahmednagar Ahmednagar Pin: 422620 Maharashtra",912425270303,,milind.dhumane@gmail.com,http://www.plzhelpus.org,Milind Dhumane,,To do education for tha last person of society. To awareness of aids. Tweet,https://ngosindia.org/maharashtra-ngos/santa-gadge-maharaj-adivasi-gramin-vikas-sansthaahmednagar/
Ahmednagar,"School Game Development Foundation, Ahmednagar","Shri Shubh Magal Karyalaya, Bazartal, Shrirampur Ahmedanagar Maharashtra 413709",,9970012112,sgdf.india99@gmail.com,https://twitter.com/share,Pathan Husen,"Art and Culture, Development (General) Sports.",This foundation is school sports promoting body. Tweet,https://ngosindia.org/maharashtra-ngos/school-game-development-foundation-ahmednagar/
Ahmednagar,"Shree Amrutvahini Gramvikas Mandal, Ahmednagar",".: Karegaon, Ranjangaon, Newasa Ahmednagar Pin: 414605 Maharashtra",912427283033,,amrutvaahini@gmail.com,https://twitter.com/share,Dilip Vasant Gunjal,"Study centre in rural student, roadbase mental destitute.",To develop rural areas & work for homeless peoples. Tweet,https://ngosindia.org/maharashtra-ngos/shree-amrutvahini-gramvikas-mandal-ahmednagar/
Ahmednagar,"Shri Ankheri Devi Shaiksanik Samajik Sanskrutik, Ahmednager",".: Fakrabad, Ahmednager Ahmednager Pin: 413205 Maharashtra",912421234306,,adssskmfkd@gmail.com,https://twitter.com/share,Jaybhay A J,,Multipurpose in social work. Tweet,https://ngosindia.org/maharashtra-ngos/shri-ankheri-devi-shaiksanik-samajik-sanskrutik-ahmednager/
Ahmednagar,"Shri Mandveshawar Gram Vikas Sanstha, Ahmednagar",".: Mandave, Pathardi Ahmednagar Pin: 414106 Maharashtra",912428245244,,ptd_pudhari@yahoo.co.in,https://twitter.com/share,Lawande Ramesh,Social work,"Social work, environment awareness programe, SHG krida camp panchayat raj training camp etc. Tweet",https://ngosindia.org/maharashtra-ngos/shri-mandveshawar-gram-vikas-sanstha-ahmednagar/
Ahmednagar,"Shri Sai Seva Education & Health Foundation Shrirampur, Ahemadnagar",".: Sai Shavas Bangalow, Shrirampur Ahemadnagar Pin: 464113 Maharashtra",912422223485,,saisevafoundation@yahoo.in,https://twitter.com/share,"Ramesh ghule, S.L.Shahane",Education and health issu for poor,"All Maharashtra there is so maney poor child, woman so we want to help those people who realy need health, education is main our mission. Tweet",https://ngosindia.org/maharashtra-ngos/shri-sai-seva-education-health-foundation-shrirampur-ahemadnagar/
